Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL46,OUT049,1901.047888532528
FDM20,OUT045,4198.633387335015
NCI06,OUT010,631.4551214397659
DRM11,OUT035,4277.276926236372
NCH07,OUT018,2238.120226912148
FDS23,OUT013,2036.5330345577033
FDO49,OUT018,560.934658909825
FDS35,OUT049,1090.7978305472607
DRK39,OUT045,1233.7478337283735
DRI39,OUT049,949.368195188596
FDV04,OUT017,2555.404228155806
NCN14,OUT035,3104.0282386364506
FDH08,OUT013,3858.709386504455
FDS20,OUT046,3042.000187506515
FDV40,OUT049,1218.8917249753902
FDZ48,OUT010,337.05799449833484
FDS24,OUT027,2341.601932415226
FDK44,OUT049,2751.263222223055
FDS48,OUT045,2462.91697835965
FDK26,OUT010,732.3255296899939
FDD23,OUT045,3227.9501881372007
NCH54,OUT017,2717.4460917783927
NCP14,OUT010,352.33317463565083
FDM60,OUT010,59.86616117522205
FDV24,OUT017,2352.7918990286394
FDH08,OUT018,3130.3356714352026
FDS12,OUT027,3267.592292721003
FDR39,OUT027,4886.96482017439
FDP12,OUT027,1193.6004462891267
DRF60,OUT027,5935.820166102464
FDC09,OUT035,1780.2624499261235
FDF50,OUT018,2906.4176926373825
FDG28,OUT035,4100.353577479443
NCE19,OUT017,935.7724766092654
NCM53,OUT010,356.78269678182454
NCN18,OUT049,1770.7436109001017
FDF32,OUT035,3471.8790146072984
FDF11,OUT013,3839.8487294337165
DRI59,OUT049,3812.043148301711
NCG54,OUT035,2822.1427866534505
FDM44,OUT046,1615.3395431454844
FDT57,OUT018,3191.986680072658
FDV24,OUT046,2340.5337097964507
FDI50,OUT019,733.9302879667703
FDS09,OUT035,866.6183765301214
NCC31,OUT027,3973.742726262661
FDQ07,OUT019,595.6703383456781
FDC22,OUT017,3245.9240069988045
FDZ56,OUT046,2722.282750563576
FDZ40,OUT019,122.14227994746206
FDS46,OUT027,3005.182736784135
DRD24,OUT045,2193.267509672367
FDV45,OUT017,3248.967669442688
FDL26,OUT045,2440.88669643426
FDA56,OUT018,1708.9798971263854
FDN27,OUT046,1679.5912052466008
FDM20,OUT049,4242.282364139132
FDO16,OUT017,1363.618659349451
FDL03,OUT035,3341.024551424136
FDE58,OUT046,1820.7269077156946
FDI02,OUT027,2931.9120098306344
NCC55,OUT019,105.19526130476434
FDR03,OUT018,2961.709088942499
FDB14,OUT017,1550.7284587551944
FDR45,OUT013,3882.9870853505595
NCN07,OUT017,2150.5832411346555
FDM51,OUT019,310.51508908608076
FDT52,OUT027,6014.4038176549375
FDL26,OUT046,2390.527520206424
NCZ42,OUT046,3700.7685998316965
DRI47,OUT019,448.42384064971736
FDW40,OUT013,2199.9037804559225
FDN34,OUT046,2897.8425631885207
FDS01,OUT035,3085.2418677968894
NCG55,OUT045,1850.362701176298
FDC11,OUT035,1350.6614790455171
FDX35,OUT018,3221.608710464868
NCB06,OUT046,2531.969327903556
FDR09,OUT019,723.2864015082266
FDC53,OUT017,1596.2208066767746
FDY45,OUT013,4017.0815943327016
FDA22,OUT010,596.446980359609
FDE02,OUT035,1574.1284472583782
FDW21,OUT045,1673.7695198122833
FDV34,OUT046,1150.868771797504
FDS59,OUT049,1798.5330087661605
NCW17,OUT017,2208.898292104469
NCK54,OUT046,1847.7498263206824
FDG17,OUT019,716.4876565862669
FDG35,OUT017,2968.839523410578
FDD08,OUT010,78.31962193765321
NCO07,OUT017,3589.938446354637
FDJ10,OUT010,465.51601784958825
FDW36,OUT017,1713.1027256140414
FDW21,OUT010,408.2450510835878
FDY19,OUT017,1905.7303056441121
DRE03,OUT013,710.425042850417
NCC55,OUT049,700.5716145666024
FDH52,OUT010,195.43172489327983
FDO09,OUT017,4119.170921410627
FDU43,OUT045,3882.3303422737026
FDX09,OUT010,594.1308618550804
FDH40,OUT019,230.4802574358967
FDW58,OUT017,1777.8740223783868
FDC47,OUT017,3863.5877181984556
NCR41,OUT035,1636.6327584691705
DRG49,OUT035,4151.577315631486
FDC52,OUT027,3943.898635135975
FDY13,OUT046,1148.893567572652
FDY35,OUT013,759.0062638641141
FDI35,OUT017,3311.8339805407027
NCU18,OUT049,2212.4757522661657
FDY33,OUT018,2305.6350615592614
FDC15,OUT027,3935.1659822300653
FDU01,OUT049,3211.3099203488305
NCU42,OUT046,2752.42777573679
NCV29,OUT018,2562.7599056647887
NCY30,OUT017,3194.9702499022383
FDQ46,OUT049,1800.0675280033333
FDG58,OUT027,3868.9668552819544
FDK33,OUT017,3673.3779852070943
NCD07,OUT045,1786.811069364023
NCX29,OUT027,3683.5165422136733
NCT42,OUT013,2330.9983876506394
DRN59,OUT035,755.3459739252389
FDI44,OUT035,1220.4667078947457
FDA45,OUT049,2550.1463574318564
FDP31,OUT045,917.6947943468359
FDY01,OUT046,1817.7483170367689
FDT09,OUT018,1892.9990943801588
DRH03,OUT027,2473.770506655151
FDA36,OUT018,2687.903567956545
NCF31,OUT017,2492.050201792129
FDG14,OUT049,2449.943972474605
FDG28,OUT027,5947.461162750593
FDU14,OUT049,4038.5896367431255
FDY47,OUT019,380.5715872234848
FDI56,OUT049,1481.9016867246005
DRD01,OUT013,916.4946772373951
FDM22,OUT046,951.6480443920162
FDH33,OUT013,718.3982132551289
DRZ24,OUT013,1831.897446097251
NCQ38,OUT046,1669.0501103212343
FDO16,OUT027,2163.9594369657752
FDU07,OUT027,3862.878935583042
NCB07,OUT013,3083.7985544002067
FDU48,OUT045,2087.9699184543324
NCM43,OUT045,2711.6933636047584
FDR31,OUT010,543.5736123233613
DRK49,OUT018,516.7937296062512
NCI30,OUT010,763.9704912284285
DRD60,OUT017,3162.4496487143974
NCG19,OUT046,3510.1061963352345
FDH12,OUT035,1718.419191186711
FDM32,OUT035,1528.9987781389627
FDM27,OUT035,2553.4959758580085
NCU53,OUT027,4353.718651522537
NCQ18,OUT046,1558.5816931272072
FDS10,OUT013,2911.0868525255296
FDB33,OUT027,4175.067178193013
FDI12,OUT013,1354.8567567340315
NCW42,OUT013,3602.595469616066
NCC06,OUT018,1797.4025456782388
FDW02,OUT017,2165.3953188716273
NCD43,OUT017,1753.2494532368414
FDM57,OUT018,1105.855008765732
FDA58,OUT017,3859.383496361364
FDK56,OUT046,2986.7204561147673
FDP52,OUT045,3923.2220219666588
FDW20,OUT018,1710.4919937335087
FDS52,OUT049,1603.4543285924392
NCT29,OUT018,1562.166153203558
NCL54,OUT013,2865.908501368066
FDC05,OUT045,3300.4191220179982
FDF34,OUT035,3363.702525746241
FDP03,OUT027,3224.177651650348
FDD32,OUT010,229.07282810436124
FDZ10,OUT045,2144.0176194427268
FDZ40,OUT035,904.7001689261808
FDD51,OUT018,585.2426420259001
NCY30,OUT019,536.3050679053403
FDP58,OUT017,3674.1120470180135
FDV49,OUT017,4247.707733342682
FDY24,OUT019,138.22949046579552
NCO55,OUT017,1766.0234555091681
FDR13,OUT017,1951.960434649232
FDS51,OUT017,1055.3746941456302
FDP26,OUT045,1629.6934589353923
NCB54,OUT027,3325.7252132522685
FDF32,OUT017,3367.4977436570766
FDN31,OUT018,2734.0411071462468
DRM48,OUT017,721.6135560951077
FDN20,OUT049,2761.743382178669
DRL01,OUT046,3821.8780031663423
FDV56,OUT049,1778.151050867972
DRH13,OUT027,2802.201207569158
FDA03,OUT017,2444.881775839315
FDF47,OUT027,5635.699307865188
FDX32,OUT046,2324.5459185282466
FDX57,OUT049,1589.8173691875868
NCA30,OUT045,3116.7965288177184
FDO49,OUT013,629.0141803558972
FDL04,OUT019,273.1167227925164
DRM48,OUT035,718.7131080208366
FDR16,OUT013,3416.7008649540467
NCC19,OUT018,2763.947305481371
NCE42,OUT045,3342.228074398602
FDY24,OUT017,1001.8144940074967
FDH19,OUT049,2824.012291873398
FDJ46,OUT013,2811.198334139158
FDN45,OUT010,700.8900628176698
FDY08,OUT035,2215.7552426788475
FDZ37,OUT035,1439.8715665961588
NCT30,OUT045,789.9674011041304
DRY23,OUT018,587.2748522425256
NCZ30,OUT018,1670.532481961941
FDC44,OUT018,1502.3720734754106
FDB45,OUT035,1645.287186905395
FDY04,OUT013,2618.259811074994
FDM27,OUT046,2487.1104339769327
FDZ43,OUT017,4175.894338292141
FDT39,OUT019,447.71967394030736
NCC06,OUT019,385.8411305346625
FDL15,OUT027,3941.2104336986217
FDL57,OUT017,4295.857779062129
FDU08,OUT046,1566.282581988254
FDK40,OUT017,4169.365110649981
FDQ12,OUT010,880.303173089703
FDS48,OUT017,2546.7747589831592
FDP09,OUT045,3428.8148740381744
FDW21,OUT049,1659.313147284573
FDY25,OUT035,3163.841319768192
DRE13,OUT017,1406.7309590436826
FDV43,OUT019,51.504523417317536
FDD22,OUT045,1772.4581277342497
FDM46,OUT019,264.3626445100095
NCO30,OUT010,679.9296383476592
FDM25,OUT046,2809.094437133997
NCN41,OUT049,1981.7993255431188
FDU24,OUT045,1506.2785459586405
FDZ50,OUT046,3026.8068050614884
FDP45,OUT013,3819.9380793256355
NCM54,OUT045,2013.4616829608112
FDW10,OUT019,482.03340439319396
FDP20,OUT017,2099.035768013219
FDK32,OUT046,2417.4748792739265
FDN52,OUT049,1391.0168887218804
FDM58,OUT045,1893.074998039637
FDZ46,OUT027,2867.79655187112
NCA18,OUT018,1555.9999411075603
FDD35,OUT046,1952.7802619477936
NCK31,OUT035,819.5087921574191
FDI40,OUT027,2678.9840750870876
FDT50,OUT019,254.3446137277023
NCT06,OUT046,2637.8777634556686
FDT31,OUT035,3159.8905728155914
FDT45,OUT049,854.5810136970468
FDT13,OUT045,3108.256940375338
FDO50,OUT045,1452.2851445734002
NCU18,OUT010,465.6291497520633
NCR54,OUT049,3166.247646801123
NCO18,OUT018,2582.8318811725285
FDU09,OUT045,933.0736814381315
FDT13,OUT018,2708.780581097952
FDE09,OUT046,1772.9529009993157
NCK53,OUT019,257.35253426992927
FDG45,OUT049,3439.192969586134
DRH15,OUT035,742.073886290061
FDO21,OUT019,712.6570150475138
FDD14,OUT027,5007.643256525995
FDC09,OUT046,1692.3101295956196
FDH45,OUT027,1289.8774165791283
FDV32,OUT046,1108.0072884945544
FDG12,OUT035,1957.3103853023022
FDS32,OUT013,2210.0249428407747
NCL55,OUT018,3452.549526462444
DRE01,OUT035,3987.6190386618937
DRE15,OUT049,1204.321819928746
NCL42,OUT045,3849.493493146258
FDP31,OUT013,888.8166867498493
FDN33,OUT018,1327.7740049835347
FDZ59,OUT046,2656.899982029462
FDE45,OUT010,595.6921958722647
FDJ07,OUT013,1798.7213932309319
FDQ45,OUT018,2661.0688259463745
FDM33,OUT027,5768.5241558573625
FDO15,OUT010,242.01147660015877
FDM46,OUT013,1493.2893617409418
FDR03,OUT045,3444.673706827917
FDY49,OUT018,2410.7431283388805
FDQ60,OUT045,1853.8896980462778
FDW10,OUT049,2663.4984579570337
FDO51,OUT049,748.7162422276905
FDJ40,OUT018,1455.2160683126906
FDS20,OUT018,2663.730946128994
FDU45,OUT013,1862.7541980824506
FDV02,OUT035,2800.018324361921
FDN09,OUT046,3805.4613198649295
NCM55,OUT027,4984.357032111103
FDN23,OUT018,2042.298566068323
FDY31,OUT010,495.4239023918266
FDW03,OUT010,429.4248096790776
FDD14,OUT046,2870.603629657831
FDV23,OUT017,2065.3497926739647
DRI03,OUT045,2820.6168242591216
FDN13,OUT035,1576.6636271658554
FDF45,OUT027,1802.0682804787896
FDU46,OUT035,1493.9158414593546
FDB57,OUT049,3754.4264274855736
FDV12,OUT049,1689.2490444350592
FDQ58,OUT013,2410.4323392454553
NCA18,OUT017,1863.8928277140267
FDH52,OUT049,1028.1819958207209
FDM24,OUT018,2108.5546137375372
NCP43,OUT027,4890.897643579418
NCO18,OUT019,530.6068131893509
FDM32,OUT017,1555.6134665036707
NCL07,OUT017,719.2969022648693
FDK03,OUT013,4125.661933019849
FDP59,OUT017,1596.9718577445685
FDQ24,OUT049,4102.433222160776
FDQ16,OUT018,1467.1084600227375
FDU44,OUT013,2576.0918332479237
FDH28,OUT010,55.926021338458945
FDV28,OUT019,64.98051772791857
FDM22,OUT045,890.7221964947083
FDR56,OUT046,3086.1460821793235
FDV39,OUT049,3161.653742644907
FDU37,OUT019,231.7515552838813
FDQ11,OUT010,1151.3821660524218
FDX02,OUT045,3724.7403436503732
NCS42,OUT018,1260.2619324264472
FDY57,OUT027,2541.9134224984273
FDB21,OUT049,4006.033137897195
FDE28,OUT017,3880.7483967532203
FDQ55,OUT017,1944.3469675280285
FDA48,OUT049,3640.067578649952
FDZ19,OUT045,2759.7861540119347
NCC43,OUT045,3787.8478108355685
NCV18,OUT046,1301.694584651033
NCA42,OUT018,2273.821568418257
FDY45,OUT046,3750.558380513643
NCC30,OUT045,2966.611208733951
FDM57,OUT013,1351.5032900342417
FDL09,OUT010,500.4478181182194
FDB09,OUT027,3300.9302701768506
FDT44,OUT035,1857.094812031164
NCT06,OUT027,4285.5917963731135
FDX26,OUT049,3063.1403147636775
FDK32,OUT013,2392.4809263265042
DRA12,OUT046,2233.1792821861063
FDO46,OUT010,719.1700878860911
FDE52,OUT013,1353.7047285596582
NCH42,OUT045,3748.3123091820453
FDV08,OUT035,683.361791678057
FDB47,OUT018,2947.743842384423
FDC28,OUT010,365.56091977223514
FDD22,OUT046,1808.5296407005765
FDS07,OUT027,3029.88729466751
DRI13,OUT045,3596.6021649316694
FDG32,OUT018,3266.690664729328
FDU14,OUT017,4240.002883697762
FDD28,OUT019,156.72980465887616
NCP41,OUT017,1865.3980874671697
FDS08,OUT049,2777.8445359860316
FDX47,OUT045,2549.9964927813317
FDC53,OUT019,289.6227869312988
FDQ19,OUT035,4186.514491369014
FDL14,OUT045,2506.8347344433564
FDM33,OUT019,628.7440898690033
FDA51,OUT045,1759.4128618786172
FDZ27,OUT018,627.392291989182
FDT04,OUT046,693.0164344179649
DRC13,OUT049,2079.272682635058
FDR16,OUT027,5501.314482973033
FDQ03,OUT027,5896.538770192483
FDE38,OUT035,2776.0276966477113
DRH23,OUT027,1643.9559616527142
FDT11,OUT019,572.1703900677318
FDD09,OUT035,3104.069059479989
FDR40,OUT045,1285.7070252833762
FDX07,OUT017,3299.288476574791
FDR07,OUT035,1422.5211779833785
FDA51,OUT017,1839.4566793668419
FDT59,OUT019,827.9361534462297
FDF20,OUT017,3312.6380757842157
FDR13,OUT045,1831.564813789644
FDY26,OUT049,3374.0475538054716
FDW04,OUT017,2141.1786365912976
FDK52,OUT017,3908.6388456039153
FDN60,OUT049,2511.4072161134595
FDM09,OUT019,466.840975227499
FDP46,OUT049,1400.06080355002
FDB50,OUT019,219.2336779939276
NCQ29,OUT049,3978.4365049222506
FDP16,OUT027,6158.759645242529
FDX33,OUT018,2337.124270195928
FDP07,OUT010,753.5555865298273
FDN22,OUT046,3744.061088283251
FDF39,OUT049,4278.042152682089
FDS21,OUT017,1135.3626047306045
NCM42,OUT013,1705.266354507433
FDK50,OUT019,479.29327941067214
DRF13,OUT027,3793.1755958184967
FDH35,OUT018,2250.1789055520603
FDP60,OUT018,1323.969228125883
DRJ49,OUT027,3388.534458213933
NCT42,OUT019,434.7173848060467
FDE38,OUT049,2759.8286939358723
FDI04,OUT049,3343.940435427228
NCH54,OUT045,2520.953237074531
FDT56,OUT049,973.5850806124832
DRD15,OUT018,3193.9792855528963
FDV58,OUT013,2786.6233878809962
FDP21,OUT049,3277.6057761566167
FDH05,OUT013,3768.6902980455825
FDR10,OUT027,4203.890278518879
NCP06,OUT045,2293.582785342843
FDF33,OUT049,1808.7726937916748
DRK37,OUT013,3145.4052127512778
DRH49,OUT045,1327.2066424251948
FDT58,OUT013,2669.3341001709678
FDD41,OUT018,1456.6941591615976
FDP40,OUT018,1652.0982636162303
FDM51,OUT027,2696.9342329303786
FDO45,OUT010,285.7166618023149
FDW33,OUT010,364.9145996232278
FDY24,OUT045,961.5989411339021
FDB10,OUT010,810.8473298253598
FDM40,OUT035,2241.9529874201735
NCI06,OUT017,3135.435588277233
FDW12,OUT019,408.86132547021066
FDX48,OUT027,3982.679309191565
NCW05,OUT027,2787.6202591985834
FDX27,OUT017,1503.4344753328946
DRM37,OUT045,3284.435898333859
FDA38,OUT045,3878.6481425550874
FDR36,OUT046,745.105373990046
FDZ45,OUT046,3241.712155387561
FDG05,OUT017,2610.3841469380272
FDK28,OUT013,4363.288183246336
FDV47,OUT045,1301.8162030422557
FDN21,OUT045,2561.985525205552
FDP20,OUT027,3268.6580589138766
FDI35,OUT045,3175.3960754519976
DRY23,OUT013,700.3827148941461
FDA56,OUT017,2056.7477769716706
FDB09,OUT013,1952.6181213337807
NCO26,OUT027,2968.9854731691407
FDQ49,OUT018,2101.6618850144205
FDI52,OUT027,3124.5249258607564
FDZ44,OUT027,3078.778809212745
FDZ09,OUT018,2391.7485491076645
FDY03,OUT049,1817.6681022492019
NCG42,OUT017,2211.9397752508207
DRI13,OUT027,5776.976576335293
FDQ32,OUT013,2044.542430552216
FDW16,OUT035,1549.4360185338371
FDU27,OUT046,763.6944449448429
FDR28,OUT010,603.4196482620777
FDQ49,OUT010,441.85692679876706
FDS37,OUT046,1841.3444561866118
FDW26,OUT018,3260.051345131533
FDX12,OUT018,3320.3768211171523
NCP06,OUT013,2288.723940110125
FDW45,OUT010,491.76541087570746
NCN30,OUT049,1550.847963307466
FDN24,OUT049,848.8135220692018
NCL41,OUT027,1158.379446577986
FDR02,OUT019,299.0717998232143
FDD09,OUT010,699.6344331682909
FDS33,OUT010,299.9534654513893
FDU22,OUT045,1859.3802410862324
FDI53,OUT013,2557.2526326200064
DRH01,OUT049,2818.7050706835557
FDX32,OUT013,2240.135231890368
NCP30,OUT018,554.9913531238849
FDB60,OUT045,3208.7332976679018
FDB14,OUT049,1498.0860396201044
NCP02,OUT035,1012.0854599085687
FDJ10,OUT017,2190.508031608158
FDG34,OUT046,1828.0634963476193
NCB18,OUT017,1437.6758805143368
FDM16,OUT049,1166.8742346158788
FDW25,OUT018,1214.10157786432
FDB35,OUT010,347.4640982481224
DRN11,OUT013,2234.3941491447354
FDF41,OUT019,773.6058454694557
FDH16,OUT045,1341.7597341927558
NCQ50,OUT018,3018.847980857628
DRH23,OUT018,794.2538584901821
DRJ37,OUT013,2355.022495424821
DRJ24,OUT027,5024.970122177618
FDY16,OUT035,3193.220596317578
FDQ27,OUT045,1760.4839941326557
FDZ33,OUT045,2354.999715255476
FDF29,OUT045,2199.164769663045
FDA08,OUT049,2654.311029687881
FDG31,OUT046,1044.4907489900195
FDE34,OUT019,533.5283919873775
NCR30,OUT027,1890.2172789701963
FDV33,OUT035,4107.802988917882
DRZ24,OUT018,1598.1816659467945
NCL54,OUT035,2899.1638556745415
FDR12,OUT049,2879.4667186414217
NCC54,OUT046,3810.0591372825284
DRN59,OUT013,741.6421236452612
FDX50,OUT019,277.45407142058195
FDV31,OUT027,4764.227420155522
NCA29,OUT027,4555.842685286101
FDW60,OUT049,2953.6991234243774
FDX08,OUT017,3222.3839966007117
DRD49,OUT013,3707.1861493932456
FDD33,OUT046,3616.725576597328
FDW35,OUT013,690.5104637422253
FDJ36,OUT017,1735.6655641765597
FDV51,OUT035,2823.197227873362
FDW36,OUT046,1681.5337561465212
FDH35,OUT046,2578.924361545156
NCS30,OUT027,3392.4064866841977
FDN49,OUT017,678.0279887311112
FDL08,OUT018,3304.827323091401
FDI09,OUT013,3830.169347807586
FDP19,OUT018,1782.120801923748
FDU21,OUT010,74.5059478057153
NCP41,OUT045,1754.7667148752282
FDY10,OUT013,1797.761176588731
FDP12,OUT018,535.9599332551786
NCN26,OUT049,1854.9431744434985
FDK44,OUT013,2756.8299507357833
FDC28,OUT049,1720.954507784788
FDJ41,OUT027,6294.003517595201
NCT29,OUT035,2020.3549856042018
NCH42,OUT019,657.100035712669
FDU60,OUT018,2391.8019267041955
FDS02,OUT045,3133.47329937147
FDC51,OUT046,2001.722204595378
FDU03,OUT013,3042.1196548154585
FDX39,OUT045,3516.283557373949
NCY05,OUT010,63.613120961090246
NCL06,OUT027,6006.31831373484
FDD32,OUT035,1373.1986151263056
NCN41,OUT045,1953.390170531652
NCX53,OUT049,2260.3685645976802
FDU57,OUT019,418.7579954583306
FDQ23,OUT046,1690.023089200817
FDQ52,OUT045,4078.7731072156057
FDC14,OUT045,725.0066088352114
FDY09,OUT035,3072.8104573949745
FDQ28,OUT045,2505.9213123659633
FDV25,OUT046,3785.5361785809496
FDJ07,OUT035,1881.8342756176476
DRB25,OUT049,1674.4247020828598
FDK52,OUT019,638.3131349234229
FDY52,OUT027,1724.345996451491
FDB28,OUT046,3191.5072885007894
FDT36,OUT035,724.6080626796911
FDV25,OUT017,3845.240036156052
NCN07,OUT027,3376.5952512235363
FDC57,OUT017,3326.635471699288
FDQ03,OUT018,3319.7684891504546
FDU23,OUT017,2905.724055047221
NCX41,OUT035,3649.7653348060417
NCD06,OUT035,792.1291325583618
FDW08,OUT045,1675.5434472216693
NCU29,OUT017,2425.7824525580486
NCE06,OUT013,2521.930797154352
FDV52,OUT010,337.66348130017246
FDB02,OUT017,3053.7963068449462
NCR18,OUT045,723.5220571420448
FDK16,OUT049,1509.7597848249104
NCQ29,OUT010,899.2740169655465
FDZ01,OUT019,322.73119604606154
FDW27,OUT035,2505.394063885952
FDD17,OUT018,3275.3083820921106
FDW39,OUT013,2883.4464999071624
DRH59,OUT045,1076.8974801315455
FDS52,OUT013,1618.9292862904392
FDU40,OUT027,5212.646954452597
NCF54,OUT013,2762.2661177498
FDH46,OUT045,1692.9496720137292
NCP14,OUT049,1700.3370732192716
FDH50,OUT049,3246.8281890088574
DRF15,OUT010,465.67509325644323
FDV27,OUT027,2343.081084971294
NCJ06,OUT049,1886.5067837153829
FDN02,OUT018,3003.7690662631717
FDQ51,OUT049,771.2908038371796
FDQ07,OUT017,3892.8937465729805
FDS45,OUT049,1771.7795429878906
NCJ06,OUT045,1893.8972239240863
FDD36,OUT035,1947.4928107727326
FDY25,OUT045,3128.9129375306125
FDU52,OUT046,2423.630445414159
DRK47,OUT017,3908.6322717980406
NCL30,OUT017,2127.2420553539573
FDN22,OUT035,4033.8036286581546
NCF30,OUT027,3224.8629116321217
FDK03,OUT035,4305.597154444096
FDT45,OUT017,936.2174464298965
NCC54,OUT027,5841.60255505045
